unix_time,moisture,temp_c
1788730323,914,27.41
1788730618,923,27.41
1788730913,908,27.21
1788731208,929,27.62
1788731503,934,27.00
1788731797,910,27.31
1788732092,909,27.41
1788732388,915,27.52
1788732682,910,27.31
1788732977,944,27.21
1788733272,930,27.31
1788733567,887,27.41
1788733862,907,27.41
1788734157,920,27.31
1788734452,913,27.21
1788734747,962,27.31
1788735042,939,27.41
1788735337,950,27.31
1788735632,932,27.31
1788735927,894,27.31
1788736222,900,27.11
1788736517,969,27.21
1788736812,900,27.52
1788737107,922,26.90
1788737403,927,27.41
1788737698,915,27.00
1788737994,911,27.11
1788738289,973,27.41
1788738585,887,27.00
1788738880,969,27.11
1788739176,939,26.90
1788739471,896,27.00
1788739767,908,27.00
1788740063,890,26.90
1788740359,969,26.70
1788740655,937,26.59
1788740951,917,26.80
1788741247,942,26.90
1788741544,906,26.17
1788741841,964,25.35
1788742140,928,25.04
1788742439,922,24.74
1788742739,953,24.53
1788743039,887,24.22
1788743340,895,23.60
1788743642,925,24.01
1788743944,954,23.18
1788744247,921,23.08
1788744549,954,23.08
1788744851,896,23.50
1788745152,933,23.50
1788745454,952,23.70
1788745755,887,23.91
1788746055,895,23.91
1788746356,905,23.91
1788746657,950,24.01
1788746957,899,23.91
1788747258,920,24.32
1788747558,962,24.22
1788747859,938,24.11
1788748159,891,24.01
1788748460,913,24.11
1788748760,941,24.01
1788749060,900,23.91
1788749361,959,24.22
1788749661,903,24.11
1788749961,933,24.42
1788750262,946,24.42
1788750562,900,24.22
1788750863,930,24.53
1788751163,944,24.63
1788751463,926,24.63
1788751764,918,24.11
1788752064,887,24.22
1788752365,907,24.74
1788752665,969,24.22
1788752966,933,24.42
1788753266,947,24.74
1788753567,950,24.22
1788753867,900,24.42
1788754168,937,24.53
1788754468,892,24.32
1788754769,919,23.91
1788755070,903,24.32
1788755370,917,24.53
1788755671,909,24.11
1788755972,907,24.42
1788756273,923,24.63
1788756573,928,24.32
1788756874,923,24.32
1788757175,920,24.42
1788757476,888,24.53
1788757777,935,24.42
1788758078,935,24.32
1788758379,920,24.32
1788758680,898,24.32
1788758981,886,24.11
1788759282,960,24.53
1788759583,895,24.22
1788759885,913,24.22
1788760186,901,24.11
1788760487,923,24.01
1788760788,905,24.32
1788761090,901,24.01
1788761391,915,24.22
1788761693,890,24.32
1788761994,939,24.22
1788762296,916,24.01
1788762597,909,24.22
1788762899,928,24.22
1788763201,961,24.01
1788763503,947,24.01
1788763805,919,24.01
1788764107,936,24.01
1788764409,918,23.81
1788764710,911,23.70
1788765012,889,24.22
1788765315,886,24.01
1788765617,876,23.91
1788765919,896,23.81
1788766221,855,24.32
1788766523,871,23.81
1788766826,868,23.81
1788767128,868,23.70
1788767430,844,23.70
1788767733,826,23.91
1788768035,850,23.50
1788768338,825,23.91
1788768640,864,23.60
1788768943,851,23.70
1788769246,859,23.81
1788769549,834,23.81
1788769851,805,23.81
1788770154,836,23.40
1788770457,856,23.60
1788770759,801,23.40
1788771062,803,23.70
1788771365,808,23.40
1788771668,805,23.60
1788771971,869,23.50
1788772275,835,23.50
1788772578,834,23.60
1788772881,804,23.70
1788773184,850,23.50
1788773488,840,23.29
1788773791,827,23.29
1788774095,869,23.18
1788774398,811,23.60
1788774702,818,23.40
1788775005,791,23.50
1788775309,854,23.18
1788775613,839,23.18
1788775916,831,23.08
1788776220,803,23.50
1788776524,800,23.29
1788776828,802,23.40
1788777132,859,23.08
1788777436,842,23.18
1788777740,815,23.08
1788778044,810,22.78
1788778348,866,22.98
1788778652,855,23.29
1788778956,815,22.88
